#Freq Field Area
10 4  685.0847457627118
20 4  858.3050847457625
30 4  838.3050847457625
40 4  730.1694915254236
50 4  662.7118644067795
60 4  591.8644067796608
80 4  467.1186440677965
100 4  386.4406779661015
10 12  2259.63044159098
20 12  3572.81553398058
30 12  4254.854368932037
40 12  4597.087378640776
50 12  4550.970873786407
60 12  4432.038834951455
80 12  3854.368932038833
100 12  3203.88349514563
10 24  4784.745762711864
20 24  6976.271186440677
30 24  8608.474576271186
40 24  9986.440677966104
50 24  11059.322033898305
60 24  11471.186440677964
80 24  11735.593220338982
100 24  10983.050847457627
