# User: ACHyster
# File name: C:/ACHYSTER/ACHyster SENS/SHAMS/CoFe2O4-1gl-water-Zero Glycerol- Sens-07-03-2023/CoFe2O4-1gl-water-zero Glycerol- 10_100F- 24kAm -Sens-07-03-20230003#1.txt
# Saved at: ma. mar. 7 14:41:34 2023
# Hyster Loop (3 iterations). Intensity: 24.0 kA/m; Tuned frequency: 41.9 kHz
# Units x axis: (kA/m)
# Units y axis: "Repeats y" & "Average y" (10^(-3)Am^2); "Mass avg y" (Am^2/kg)
# Magnetic mass: 4e-05 g
# Parameter      	Repeat   1	Repeat   2	Repeat   3	Average   	Sigma     
# H_C (kA/m)     	      13.3	      13.3	      13.0	      13.2	       0.1
# M_R (Am^2/kg)  	      56.4	      56.5	      56.2	      56.4	       0.1
# M_max (Am^2/kg)	      76.6	      76.1	      78.0	      76.9	       0.8
# Area (mJ/kg)   	    4355.9	    4360.0	    4310.1	    4342.0	      22.6
# SAR (W/g)      	     182.6	     182.8	     180.7	     182.0	       0.9
#Repeat 1 x	Repeat 1 y	Repeat 2 x	Repeat 2 y	Repeat 3 x	Repeat 3 y	Average x 	Average y 	Mass avg x 	Mass avg y 
   1.22861	-0.0021371	   1.23677	-0.00213886	   1.20573	-0.00212975	    1.2237	-0.00213524	    1.2237	  -53.3809	
   1.37671	-0.00212163	    1.3868	-0.00212325	   1.35416	-0.00211356	   1.37256	-0.00211948	   1.37256	   -52.987	
   1.52463	-0.0021059	   1.53649	-0.00210738	   1.50309	-0.00209718	    1.5214	-0.00210349	    1.5214	  -52.5871	
   1.67216	-0.00208994	   1.68587	-0.00209129	    1.6517	-0.00208064	   1.66991	-0.00208729	   1.66991	  -52.1822	
   1.81961	-0.00207379	   1.83499	-0.00207501	   1.80059	-0.00206393	    1.8184	-0.00207091	    1.8184	  -51.7728	
   1.96676	-0.00205748	   1.98391	-0.00205856	   1.94948	-0.00204702	   1.96672	-0.00205435	   1.96672	  -51.3589	
   2.11393	-0.00204096	   2.13319	-0.00204191	    2.0984	-0.00202984	   2.11517	-0.00203757	   2.11517	  -50.9392	
   2.26087	-0.00202421	   2.28229	 -0.002025	   2.24737	-0.00201237	   2.26351	-0.00202053	   2.26351	  -50.5132	
   2.40818	-0.00200719	   2.43126	-0.00200783	   2.39615	-0.00199464	   2.41187	-0.00200322	   2.41187	  -50.0805	
   2.55533	-0.00198991	   2.57988	-0.00199039	   2.54478	-0.0019767	      2.56	-0.00198567	      2.56	  -49.6417	
   2.70208	-0.00197242	   2.72844	-0.00197273	   2.69357	-0.00195859	   2.70803	-0.00196791	   2.70803	  -49.1978	
   2.84878	-0.00195474	   2.87726	-0.0019549	   2.84225	-0.00194029	    2.8561	-0.00194998	    2.8561	  -48.7494	
   2.99625	-0.00193687	   3.02634	-0.0019369	   2.99061	-0.00192175	    3.0044	-0.00193184	    3.0044	   -48.296	
   3.14339	-0.00191878	   3.17567	-0.00191867	    3.1387	-0.00190294	   3.15258	-0.00191346	   3.15258	  -47.8366	
    3.2908	-0.00190043	   3.32526	-0.00190016	   3.28655	-0.00188385	   3.30087	-0.00189481	   3.30087	  -47.3703	
   3.43796	-0.00188181	   3.47432	-0.00188132	   3.43423	-0.00186452	   3.44884	-0.00187588	   3.44884	   -46.897	
   3.58545	-0.00186293	   3.62318	-0.0018622	   3.58177	-0.00184499	    3.5968	-0.00185671	    3.5968	  -46.4176	
